concept_id,gene_name
hgnc:7968,NR1I2
hgnc:391,AKT1
hgnc:1773,CDK4
hgnc:1774,CDK5
hgnc:1780,CDK9
hgnc:1778,CDK7
hgnc:10478,RXRB
hgnc:10260,RORC
hgnc:10259,RORB
hgnc:7971,NR2C1
hgnc:7984,NR5A2
hgnc:7966,NR1H3
hgnc:10479,RXRG
hgnc:7967,NR1H4
hgnc:12950,SF1
hgnc:5024,HNF4A
hgnc:6840,MAP2K1
hgnc:8975,PIK3CA
hgnc:3942,MTOR
hgnc:1771,CDK2
hgnc:5253,HSP90AA1
hgnc:7881,NOTCH1
hgnc:3688,FGFR1
hgnc:7972,NR2C2
hgnc:9232,PPARA
hgnc:7978,NR3C1
hgnc:18216,TMEM37
hgnc:10477,RXRA
hgnc:11237,SPG7
hgnc:7965,NR1H2
hgnc:30236,TAAR5
hgnc:9864,RARA
hgnc:644,AR
hgnc:9236,PPARG
hgnc:5026,HNF4G
hgnc:12679,VDR
hgnc:7979,NR3C2
hgnc:3474,ESRRG
hgnc:9235,PPARD
hgnc:3473,ESRRB
hgnc:10258,RORA
hgnc:100,ASIC1
hgnc:379,AKAP9
hgnc:17849,ADGRA2
hgnc:2505,CTLA4
hgnc:3236,EGFR
hgnc:3788,FOLH1
hgnc:6307,KDR
hgnc:11283,SRC
hgnc:2095,CLU
hgnc:5246,HSPB1
hgnc:4852,HDAC1
hgnc:6473,AFF3
hgnc:404,ALDH2
hgnc:26837,AMER1
hgnc:18318,ASXL1
hgnc:17073,ARHGAP26
hgnc:700,ARNT
hgnc:76,ABL1
hgnc:783,ATF1
hgnc:3690,FGFR3
hgnc:3691,FGFR4
hgnc:3765,FLT3
hgnc:17635,CD274
hgnc:8760,PDCD1
hgnc:10261,ROS1
hgnc:3763,FLT1
hgnc:6407,KRAS
hgnc:2593,CYP17A1
hgnc:3767,FLT4
hgnc:8800,PDGFB
hgnc:9612,PTK2B
hgnc:3287,EIF4E
hgnc:272,PARP2
hgnc:7135,AFF1
hgnc:7137,AFDN
hgnc:3570,ACSL3
hgnc:23692,ACKR3
hgnc:427,ALK
hgnc:18037,ARID2
hgnc:77,ABL2
hgnc:646,ARAF
hgnc:795,ATM
hgnc:392,AKT2
hgnc:11320,ABI1
hgnc:799,ATP1A1
hgnc:393,AKT3
hgnc:1104,BRD3
hgnc:1097,BRAF
hgnc:1777,CDK6
hgnc:1509,CASP8
hgnc:13575,BRD4
hgnc:13222,BCL11B
hgnc:1582,CCND1
hgnc:1076,BMPR1A
hgnc:1785,CDKN1B
hgnc:19721,CANT1
hgnc:952,BARD1
hgnc:1014,BCR
hgnc:1391,CACNA1D
hgnc:1539,CBFB
hgnc:990,BCL2
hgnc:16783,CDC73
hgnc:1542,CBLB
hgnc:20893,BCOR
hgnc:25657,BCORL1
hgnc:11390,AURKB
hgnc:16393,CARD11
hgnc:1149,BUB1B
hgnc:1585,CCND3
hgnc:11393,AURKA
hgnc:1697,CD74
hgnc:989,BCL10
hgnc:1698,CD79A
hgnc:1101,BRCA2
hgnc:24224,CDK12
hgnc:1008,BCL9
hgnc:995,BCL2L2
hgnc:13221,BCL11A
hgnc:903,AXIN1
hgnc:950,BAP1
hgnc:1130,BTG1
hgnc:1750,CDH11
hgnc:20473,BRIP1
hgnc:1583,CCND2
hgnc:816,ATP2B3
hgnc:591,BIRC3
hgnc:15961,CBLC
hgnc:998,BCL3
hgnc:886,ATRX
hgnc:994,BCL2L11
hgnc:1133,BTK
hgnc:1004,BCL7A
hgnc:23114,ELL
hgnc:1833,CEBPA
hgnc:2345,CREB1
hgnc:3126,EBF1
hgnc:1943,CHN1
hgnc:2514,CTNNB1
hgnc:21118,ECT2L
hgnc:2093,CLTCL1
hgnc:2731,DDR2
hgnc:2768,DEK
hgnc:2974,DNM2
hgnc:3326,ELK4
hgnc:1788,CDKN2B
hgnc:3392,EPHB1
hgnc:14214,CIC
hgnc:18071,EMSY
hgnc:2363,CRKL
hgnc:1789,CDKN2C
hgnc:2439,CSF3R
hgnc:2197,COL1A1
hgnc:1935,CHIC2
hgnc:26148,CRTC3
hgnc:13723,CTCF
hgnc:3373,EP300
hgnc:16062,CRTC1
hgnc:18856,CREB3L1
hgnc:2681,DAXX
hgnc:3387,EPHA3
hgnc:3389,EPHA5
hgnc:2746,DDX5
hgnc:2231,COPB1
hgnc:13164,CNBP
hgnc:1806,CDX2
hgnc:1787,CDKN2A
hgnc:14281,CRLF2
hgnc:2092,CLTC
hgnc:7879,CNOT3
hgnc:2726,DDIT3
hgnc:2747,DDX6
hgnc:2348,CREBBP
hgnc:7067,CIITA
hgnc:2718,DDB2
hgnc:23720,CREB3L2
hgnc:24948,DOT1L
hgnc:16999,CLP1
hgnc:3319,ELF4
hgnc:3700,FH
hgnc:4004,FUBP1
hgnc:3821,FOXO3
hgnc:3493,ETV4
hgnc:3512,EXT1
hgnc:4010,FUS
hgnc:3701,FHIT
hgnc:17069,FNBP1
hgnc:3697,FGR
hgnc:3435,ERCC3
hgnc:4170,GATA1
hgnc:3587,FANCF
hgnc:3582,FANCA
hgnc:3494,ETV5
hgnc:3508,EWSR1
hgnc:7139,FOXO4
hgnc:3671,FGF14
hgnc:3495,ETV6
hgnc:16712,FBXW7
hgnc:3584,FANCC
hgnc:11920,FAS
hgnc:3823,FOXP1
hgnc:3689,FGFR2
hgnc:3433,ERCC1
hgnc:3490,ETV1
hgnc:27310,FLCN
hgnc:3527,EZH2
hgnc:17072,ERC1
hgnc:24712,TENT5C
hgnc:1092,FOXL2
hgnc:20748,FANCL
hgnc:17012,CEP43
hgnc:3446,ERG
hgnc:18562,FEV
hgnc:3436,ERCC4
hgnc:3513,EXT2
hgnc:3681,FGF3
hgnc:5021,FOXA1
hgnc:3432,ERBB4
hgnc:12691,EZR
hgnc:4169,GAS7
hgnc:3431,ERBB3
hgnc:3586,FANCE
hgnc:3437,ERCC5
hgnc:3680,FGF23
hgnc:5009,HMGA2
hgnc:6021,IL6ST
hgnc:4378,GMPS
hgnc:15465,GPHN
hgnc:12637,KDM6A
hgnc:4880,HEY1
hgnc:4451,GPC3
hgnc:5125,HOXC13
hgnc:13176,IKZF1
hgnc:9886,KDM5A
hgnc:28453,GID4
hgnc:4793,H4C9
hgnc:6006,IL21R
hgnc:5101,HOXA11
hgnc:5465,IGF1R
hgnc:4776,H3C2
hgnc:5382,IDH1
hgnc:5109,HOXA9
hgnc:6126,IRS2
hgnc:17643,GOPC
hgnc:6066,INHBA
hgnc:6024,IL7R
hgnc:5123,HOXC11
hgnc:4765,H3-3B
hgnc:5258,HSP90AB1
hgnc:6171,ITK
hgnc:5173,HRAS
hgnc:5102,HOXA13
hgnc:4381,GNA13
hgnc:4392,GNAS
hgnc:6204,JUN
hgnc:4428,GOLGA5
hgnc:4913,HIP1
hgnc:6001,IL2
hgnc:6193,JAK3
hgnc:5010,HMGA1
hgnc:5033,HNRNPA2B1
hgnc:6190,JAK1
hgnc:5383,IDH2
hgnc:6119,IRF4
hgnc:4172,GATA3
hgnc:23576,HOOK3
hgnc:28917,JAZF1
hgnc:6192,JAK2
hgnc:6266,KCNJ5
hgnc:4390,GNAQ
hgnc:17582,KAT6B
hgnc:6974,MDM4
hgnc:4021,KDSR
hgnc:7372,MSMB
hgnc:6913,MAX
hgnc:18653,KLHL6
hgnc:7125,MLF1
hgnc:13726,KMT2C
hgnc:6641,LMO1
hgnc:7127,MLH1
hgnc:6408,MAFB
hgnc:16259,MAML2
hgnc:7217,MPL
hgnc:16063,MLLT10
hgnc:32041,ADAMTSL4-AS1
hgnc:6734,LYL1
hgnc:7138,MLLT6
hgnc:6848,MAP3K1
hgnc:6844,MAP2K4
hgnc:16997,MLLT11
hgnc:4979,MNX1
hgnc:7105,MITF
hgnc:19035,MAST2
hgnc:6342,KIT
hgnc:6642,LMO2
hgnc:24054,KNL1
hgnc:6348,KLF4
hgnc:6679,LPP
hgnc:6324,KIF5B
hgnc:7329,MSH6
hgnc:6819,MALT1
hgnc:14334,MRTFA
hgnc:6597,LIFR
hgnc:30991,LRIG3
hgnc:4504,LGR5
hgnc:19034,MAST1
hgnc:6513,LASP1
hgnc:7132,KMT2A
hgnc:22219,KIAA1549
hgnc:6524,LCK
hgnc:7180,MN1
hgnc:23177,KEAP1
hgnc:6973,MDM2
hgnc:7373,MSN
hgnc:7423,MTCP1
hgnc:7010,MEN1
hgnc:18585,MSI2
hgnc:39979,BORCS8-MEF2B
hgnc:12767,NSD3
hgnc:7652,NBN
hgnc:8632,PBX1
hgnc:7579,MYH9
hgnc:7562,MYD88
hgnc:7508,MUC1
hgnc:7797,NFKBIA
hgnc:7527,MUTYH
hgnc:7679,NDRG1
hgnc:8727,PCM1
hgnc:8619,PAX5
hgnc:23445,NUTM2B
hgnc:12766,NSD2
hgnc:8622,PAX8
hgnc:29919,NUTM1
hgnc:7989,NRAS
hgnc:7997,NRG1
hgnc:7982,NR4A3
hgnc:8064,NUP214
hgnc:8575,PAFAH1B2
hgnc:7668,NCOA1
hgnc:18731,PDCD1LG2
hgnc:8621,PAX7
hgnc:8592,PAK3
hgnc:7559,MYCN
hgnc:7782,NFE2L2
hgnc:7773,NF2
hgnc:7553,MYC
hgnc:8033,NTRK3
hgnc:7795,NFKB2
hgnc:8617,PAX3
hgnc:7910,NPM1
hgnc:14234,NSD1
hgnc:7882,NOTCH2
hgnc:8059,NUMA1
hgnc:7569,MYH11
hgnc:15524,P2RY8
hgnc:7545,MYB
hgnc:7525,MUSK
hgnc:8022,NT5C2
hgnc:26144,PALB2
hgnc:7671,NCOA4
hgnc:14906,NIN
hgnc:7765,NF1
hgnc:8068,NUP98
hgnc:9666,PTPRC
hgnc:8803,PDGFRA
hgnc:9113,PML
hgnc:9954,REL
hgnc:9859,RAP1GDS1
hgnc:17677,RABEP1
hgnc:8804,PDGFRB
hgnc:9045,PLAG1
hgnc:9395,PRKCB
hgnc:9842,RALGDS
hgnc:9393,PRKCA
hgnc:8979,PIK3R1
hgnc:28611,RICTOR
hgnc:8809,PDK1
hgnc:15514,PICALM
hgnc:9801,RAC1
hgnc:9121,PMS1
hgnc:9388,PRKAR1A
hgnc:9955,RELA
hgnc:18145,PHF6
hgnc:9143,PHOX2B
hgnc:8980,PIK3R2
hgnc:9142,PRRX1
hgnc:9343,PRCC
hgnc:9967,RET
hgnc:9884,RB1
hgnc:14539,RNF213
hgnc:9588,PTEN
hgnc:9829,RAF1
hgnc:17284,POT1
hgnc:9585,PTCH1
hgnc:9122,PMS2
hgnc:10315,RPL22
hgnc:9817,RAD51
hgnc:9413,PRKDC
hgnc:8845,PER1
hgnc:9527,PSIP1
hgnc:9177,POLE
hgnc:9811,RAD21
hgnc:8986,PIM1
hgnc:10298,RPL10
hgnc:14428,RANBP17
hgnc:9221,POU5F1
hgnc:11367,STAT5B
hgnc:30542,SNX29
hgnc:11633,TCF3
hgnc:30615,SPECC1
hgnc:11190,SOX10
hgnc:1535,RUNX1T1
hgnc:10683,SDHD
hgnc:17101,SUZ12
hgnc:10682,SDHC
hgnc:11389,STK11
hgnc:11365,STAT4
hgnc:10661,SDC4
hgnc:8642,SLC45A3
hgnc:11020,SLC34A2
hgnc:29484,TET1
hgnc:11119,SMO
hgnc:11355,STAG2
hgnc:10879,STIL
hgnc:11364,STAT3
hgnc:15573,SETBP1
hgnc:26034,SDHAF2
hgnc:6770,SMAD4
hgnc:19440,SBDS
hgnc:11335,SSX1
hgnc:15592,SS18L1
hgnc:10760,SET
hgnc:19383,SOCS1
hgnc:10774,SFPQ
hgnc:30287,RPTOR
hgnc:11641,TCF7L2
hgnc:11547,TAF15
hgnc:11254,SPOP
hgnc:29605,SH2B3
hgnc:11103,SMARCB1
hgnc:11109,SMARCE1
hgnc:11752,TFE3
hgnc:11195,SOX2
hgnc:10681,SDHB
hgnc:29529,TBL1XR1
hgnc:11100,SMARCA4
hgnc:11648,TCL1A
hgnc:10830,SH3GL1
hgnc:11340,SS18
hgnc:16466,SUFU
hgnc:11556,TAL1
hgnc:11557,TAL2
hgnc:11623,TCF12
hgnc:12012,TPM3
hgnc:16290,TRIM33
hgnc:12962,TRIM26
hgnc:11998,TP53
hgnc:24605,ZNF521
hgnc:12989,ZMYM2
hgnc:11763,TFRC
hgnc:13630,TFPT
hgnc:12347,TRRAP
hgnc:12771,CCN6
hgnc:12851,YWHAE
hgnc:12680,VEGFA
hgnc:11896,TNFAIP3
hgnc:12017,TPR
hgnc:11773,TGFBR2
hgnc:25883,ZNF703
hgnc:882,ATR
hgnc:12791,WRN
hgnc:12731,WAS
hgnc:5056,TLX1
hgnc:12681,VEGFB
hgnc:12362,TSC1
hgnc:22964,THRAP3
hgnc:11913,TNFRSF17
hgnc:18081,WIF1
hgnc:12363,TSC2
hgnc:21586,TTL
hgnc:11912,TNFRSF14
hgnc:12305,TRIP11
hgnc:12687,VHL
hgnc:11955,ZNF384
hgnc:11753,TFEB
hgnc:16806,UBR5
hgnc:12013,TPM4
hgnc:15489,ZNF331
hgnc:24042,WWTR1
hgnc:17792,VTI1A
hgnc:11986,TOP1
hgnc:12816,XPC
hgnc:11758,TFG
hgnc:3434,ERCC2
hgnc:3430,ERBB2
hgnc:2978,DNMT3A
hgnc:4853,HDAC2
hgnc:1748,CDH1
hgnc:2433,CSF1R
hgnc:16627,CHEK2
hgnc:1541,CBL
hgnc:3012,DPYD
hgnc:4379,GNA11
hgnc:1694,CD69
hgnc:4910,HIF1A
hgnc:3682,FGF4
hgnc:1100,BRCA1
hgnc:3438,ERCC6
hgnc:8031,NTRK1
hgnc:1383,CA9
hgnc:15197,OR51F2
hgnc:12530,UGT1A1
hgnc:1368,CA1
hgnc:897,AVPR2
hgnc:3535,F2
hgnc:9071,PLG
hgnc:7107,MKI67
hgnc:7029,MET
hgnc:11989,TOP2A
hgnc:6693,LRP1B
hgnc:7133,KMT2D
hgnc:1952,CHRM3
hgnc:4324,GLP1R
hgnc:11334,SSTR5
hgnc:9608,PTH1R
hgnc:6622,LIPF
hgnc:1373,CA2
hgnc:5292,HTR1F
hgnc:12299,TRHR
hgnc:11110,ARID1A
hgnc:533,ANXA1
hgnc:30185,CRBN
hgnc:9066,PLCG2
hgnc:11003,SLC29A1
hgnc:9403,PRKCH
hgnc:9816,RAD50
hgnc:6052,IMPDH1
hgnc:5182,HRH1
hgnc:11892,TNF
hgnc:12015,TPO
hgnc:2719,DDC
hgnc:277,ADRA1A
hgnc:11285,SRD5A2
hgnc:8157,SIGMAR1
hgnc:9051,PLAT
hgnc:10910,SLC12A1
hgnc:9155,PNLIP
hgnc:3416,EPOR
hgnc:8784,PDE5A
hgnc:4854,HDAC3
hgnc:3023,DRD2
hgnc:336,AGTR1
hgnc:5522,IGHE
hgnc:1659,CD33
hgnc:3024,DRD3
hgnc:10483,RYR1
hgnc:6065,INHA
hgnc:435,ALOX5
hgnc:1950,CHRM1
hgnc:14064,HDAC6
hgnc:285,ADRB1
hgnc:9594,PTGER2
hgnc:5287,HTR1B
hgnc:5297,HTR3A
hgnc:408,ALDH5A1
hgnc:11330,SSTR1
hgnc:12437,TXNRD1
hgnc:12805,XDH
hgnc:1606,CCR5
hgnc:5286,HTR1A
hgnc:6257,KCNJ11
hgnc:895,AVPR1A
hgnc:3711,FKBP1A
hgnc:186,ADA
hgnc:11050,SLC6A4
hgnc:896,AVPR1B
hgnc:5183,HRH2
hgnc:5993,IL1R1
hgnc:6930,MC2R
hgnc:12442,TYR
hgnc:775,SERPINC1
hgnc:12373,TSHR
hgnc:11782,TH
hgnc:4585,GRIN2A
hgnc:5289,HTR1D
hgnc:4192,GCGR
hgnc:3468,ESR2
hgnc:3002,DPEP1
hgnc:2976,DNMT1
hgnc:6371,KLKB1
hgnc:3969,FSHR
hgnc:11332,SSTR3
hgnc:8529,OXTR
hgnc:12811,XK
hgnc:4263,GHR
hgnc:10593,SCN5A
hgnc:6091,INSR
hgnc:5295,HTR2C
hgnc:9600,PTGFR
hgnc:7943,NPR1
hgnc:9602,PTGIR
hgnc:20566,SV2A
hgnc:4247,GGCX
hgnc:8156,OPRM1
hgnc:2228,COMT
hgnc:108,ACHE
hgnc:4266,GHRHR
hgnc:2590,CYP11A1
hgnc:1639,CD2
hgnc:477,AMY2A
hgnc:11071,SLC9A1
hgnc:7043,MGAM
hgnc:3546,F8
hgnc:1030,BDKRB2
hgnc:4840,HCK
hgnc:8582,PAH
hgnc:3542,F5
hgnc:3020,DRD1
hgnc:3386,EPHA2
hgnc:10591,SCN4A
hgnc:11048,SLC6A2
hgnc:7159,MMP13
hgnc:4065,GAA
hgnc:6842,MAP2K2
hgnc:11037,SLC5A2
hgnc:6735,LYN
hgnc:8887,PGA5
hgnc:9595,PTGER3
hgnc:1375,CA4
hgnc:288,ADRB3
hgnc:7174,MMP7
hgnc:6293,KCNN4
hgnc:7175,MMP8
hgnc:9617,PTK6
hgnc:6269,KCNJ8
hgnc:4325,GLP2R
hgnc:8893,PGF
hgnc:4163,GART
hgnc:1884,CFTR
hgnc:12716,TRPV1
hgnc:7155,MMP1
hgnc:10582,SCN10A
hgnc:2020,CLCN2
hgnc:497,TRPA1
hgnc:17989,SLC22A12
hgnc:10972,SLC22A8
hgnc:4574,GRIA4
hgnc:4572,GRIA2
hgnc:3180,EDNRB
hgnc:3179,EDNRA
hgnc:1958,CHRNA4
hgnc:5006,HMGCR
hgnc:8780,PDE4A
hgnc:1962,CHRNB2
hgnc:3631,FDPS
hgnc:14068,HDAC5
hgnc:14067,HDAC7
hgnc:19086,HDAC11
hgnc:820,ATP4B
hgnc:1380,CA6
hgnc:1378,CA5B
hgnc:1377,CA5A
hgnc:20774,TUBB4A
hgnc:4616,GSK3A
hgnc:4617,GSK3B
hgnc:4584,GRIN1
hgnc:4586,GRIN2B
hgnc:16767,GRIN3A
hgnc:8783,PDE4D
hgnc:13315,HDAC8
hgnc:14063,HDAC4
hgnc:18128,HDAC10
hgnc:6138,ITGA2B
hgnc:819,ATP4A
